RUNNER_NAME,games,exp_wins,actual,WAE
GWS,23,13.293,16,2.707
Adelaide,23,15.316,18,2.684
Fremantle,23,13.868,16,2.132
Brisbane,23,15.048,17,1.952
Geelong,23,16.281,17,0.719
Hawthorn,23,14.309,15,0.691
Gold Coast,23,14.385,15,0.615
Collingwood,23,15.387,16,0.613
North Melbourne,23,5.561,6,0.439
Port Adelaide,23,8.578,9,0.422
Richmond,23,4.701,5,0.299
Sydney,23,11.884,12,0.116
St Kilda,23,9.204,9,-0.204
Western Bulldogs,23,14.898,14,-0.898
Essendon,23,6.989,6,-0.989
Carlton,23,11.618,9,-2.618
Melbourne,23,10.286,7,-3.286
West Coast,23,5.393,1,-4.393
