RUNNER_NAME,games,exp,act,WAE,SEASON,half_even,half_odd
Adelaide,22,7.176,7,-0.176,2021,-0.245,0.069
Brisbane,22,15.154,15,-0.154,2021,-0.061,-0.093
Carlton,22,10.174,8,-2.174,2021,0.529,-2.704
Collingwood,22,9.436,6,-3.436,2021,-2.147,-1.289
Essendon,22,9.762,11,1.238,2021,1.037,0.201
Fremantle,22,9.474,10,0.526,2021,-0.451,0.977
GWS,22,9.61,12,2.39,2021,0.742,1.648
Geelong,22,15.132,16,0.868,2021,0.868,0.0
Gold Coast,22,7.343,7,-0.343,2021,-0.213,-0.13
Hawthorn,22,8.099,9,0.901,2021,0.397,0.504
Melbourne,22,14.536,18,3.464,2021,0.648,2.816
North Melbourne,22,5.213,5,-0.213,2021,-0.881,0.668
Port Adelaide,22,14.329,17,2.671,2021,1.225,1.446
Richmond,22,12.984,10,-2.984,2021,-1.012,-1.972
St Kilda,22,9.407,10,0.593,2021,-1.714,2.307
Sydney,22,12.605,15,2.395,2021,2.915,-0.52
West Coast,22,12.543,10,-2.543,2021,-0.19,-2.353
Western Bulldogs,22,15.022,15,-0.022,2021,-0.812,0.791
Adelaide,22,8.441,8,-0.441,2022,-0.096,-0.345
Brisbane,22,15.307,15,-0.307,2022,2.068,-2.375
Carlton,22,11.496,12,0.504,2022,-0.605,1.109
Collingwood,22,10.916,16,5.084,2022,2.418,2.666
Essendon,22,8.806,7,-1.806,2022,-0.332,-1.474
Fremantle,21,11.756,16,4.244,2022,3.45,0.794
GWS,22,9.185,6,-3.185,2022,-1.125,-2.06
Geelong,22,15.055,18,2.945,2022,-0.215,3.16
Gold Coast,22,9.962,10,0.038,2022,-0.388,0.426
Hawthorn,22,8.962,8,-0.962,2022,-1.139,0.178
Melbourne,21,15.352,15,-0.352,2022,-0.186,-0.166
North Melbourne,22,4.014,2,-2.014,2022,-0.736,-1.278
Port Adelaide,22,11.945,10,-1.945,2022,-0.569,-1.375
Richmond,22,12.762,14,1.238,2022,-1.155,2.393
St Kilda,22,10.813,11,0.187,2022,-0.184,0.371
Sydney,22,14.15,16,1.85,2022,0.366,1.485
West Coast,22,4.877,2,-2.877,2022,-2.507,-0.37
Western Bulldogs,22,13.201,12,-1.201,2022,1.394,-2.595
Adelaide,23,11.845,11,-0.845,2023,1.329,-2.174
Brisbane,23,15.436,17,1.564,2023,-1.364,2.928
Carlton,23,12.348,14,1.652,2023,0.636,1.016
Collingwood,23,15.214,18,2.786,2023,1.936,0.85
Essendon,23,10.864,11,0.136,2023,-0.12,0.257
Fremantle,23,10.684,10,-0.684,2023,2.002,-2.686
GWS,23,10.04,13,2.96,2023,4.591,-1.632
Geelong,23,15.042,11,-4.042,2023,-3.914,-0.128
