RUNNER_NAME,games,exp,act,WAE,SEASON,half_even,half_odd
Brisbane,4,2.123,1,-1.123,2022,-0.842,-0.281
Canberra,4,3.036,4,0.964,2022,0.481,0.483
Canterbury,3,0.982,1,0.018,2022,0.237,-0.218
Cronulla,4,3.432,4,0.568,2022,0.315,0.253
Gold Coast,3,1.308,2,0.692,2022,1.08,-0.389
Manly,4,1.473,0,-1.473,2022,-0.545,-0.928
Melbourne,3,1.764,1,-0.764,2022,-1.042,0.278
NZ Warriors,2,0.124,0,-0.124,2022,-0.091,-0.032
Newcastle,4,0.744,0,-0.744,2022,-0.276,-0.468
North Qld,4,2.608,2,-0.608,2022,0.183,-0.791
Parramatta,4,2.215,3,0.785,2022,0.659,0.126
Penrith,4,2.141,3,0.859,2022,0.918,-0.059
South Sydney,3,1.659,1,-0.659,2022,-0.014,-0.644
St George,4,2.074,3,0.926,2022,0.952,-0.026
Sydney,4,2.528,4,1.472,2022,0.469,1.003
Wests Tigers,4,0.79,0,-0.79,2022,-0.367,-0.423
Brisbane,22,13.149,16,2.851,2023,0.211,2.64
Canberra,22,11.199,13,1.801,2023,1.993,-0.191
Canterbury,21,6.602,6,-0.602,2023,-1.341,0.739
Cronulla,21,12.863,12,-0.863,2023,-0.678,-0.185
Dolphins,20,7.374,7,-0.374,2023,-1.223,0.85
Gold Coast,21,7.486,9,1.514,2023,1.115,0.399
Manly,22,10.277,11,0.723,2023,1.327,-0.604
Melbourne,22,14.012,14,-0.012,2023,0.218,-0.23
NZ Warriors,20,10.49,13,2.51,2023,2.769,-0.26
Newcastle,22,10.58,14,3.42,2023,2.1,1.32
North Qld,23,12.625,12,-0.625,2023,-0.026,-0.599
Parramatta,20,9.846,10,0.154,2023,1.562,-1.407
Penrith,22,16.518,16,-0.518,2023,-0.763,0.245
South Sydney,22,13.892,11,-2.892,2023,-2.669,-0.223
St George,21,6.556,3,-3.556,2023,-1.808,-1.748
Sydney,20,11.713,11,-0.713,2023,1.054,-1.767
Wests Tigers,21,5.82,4,-1.82,2023,-1.663,-0.157
Brisbane,21,12.284,7,-5.284,2024,-3.899,-1.386
Canberra,23,9.375,12,2.625,2024,2.524,0.101
Canterbury,20,9.341,12,2.659,2024,1.321,1.339
Cronulla,22,13.344,14,0.656,2024,-2.217,2.873
Dolphins,20,9.114,9,-0.114,2024,-0.856,0.742
Gold Coast,23,7.908,7,-0.908,2024,-0.558,-0.351
Manly,23,12.612,13,0.388,2024,1.589,-1.201
Melbourne,23,14.977,18,3.023,2024,0.993,2.03
NZ Warriors,22,12.052,10,-2.052,2024,0.431,-2.483
Newcastle,21,9.222,10,0.778,2024,1.315,-0.537
North Qld,21,11.745,14,2.255,2024,0.312,1.943
Parramatta,22,8.938,7,-1.938,2024,-2.963,1.025
Penrith,24,17.085,17,-0.085,2024,0.46,-0.545
South Sydney,22,8.796,7,-1.796,2024,-0.869,-0.928
St George,22,8.499,10,1.501,2024,1.761,-0.26
Sydney,22,15.051,14,-1.051,2024,-0.584,-0.466
Wests Tigers,21,5.656,6,0.344,2024,0.123,0.221
Brisbane,24,15.59,16,0.41,2025,2.608,-2.198
Canberra,22,12.554,18,5.446,2025,2.663,2.783
Canterbury,22,13.867,14,0.133,2025,1.376,-2.243
Cronulla,20,12.173,11,-1.173,2025,-3.675,2.502
Dolphins,22,11.253,11,-0.253,2025,-1.73,1.477
Gold Coast,22,8.317,6,-2.317,2025,-2.525,0.208
Manly,22,12.227,12,-0.227,2025,0.008,-0.236
Melbourne,23,16.157,15,-1.157,2025,-0.146,-1.011
NZ Warriors,23,11.272,13,1.728,2025,0.409,1.319
Newcastle,23,8.424,6,-2.424,2025,0.213,-2.637
North Qld,20,8.392,8,-0.392,2025,-1.221,0.828
Parramatta,22,7.966,9,1.034,2025,0.608,0.426
Penrith,22,13.856,13,-0.856,2025,0.032,-0.889
South Sydney,22,6.757,8,1.243,2025,-0.929,2.173
St George,20,8.217,7,-1.217,2025,-0.489,-0.728
Sydney,22,11.021,11,-0.021,2025,-0.323,-0.699
Wests Tigers,23,8.956,9,0.044,2025,-1.642,1.686
Brisbane,11,5.815,5,-0.815,2026,-0.762,-0.054
Canberra,11,5.289,4,-1.289,2026,0.036,-1.325
Canterbury,13,6.961,5,-1.961,2026,-0.6,-1.36
Cronulla,11,6.548,7,0.452,2026,-0.856,1.308
Dolphins,12,6.321,7,0.679,2026,0.734,-0.055
Gold Coast,11,3.518,2,-1.518,2026,-0.947,-0.571
Manly,12,6.212,7,0.788,2026,0.476,0.312
Melbourne,12,6.861,5,-1.861,2026,-1.541,-0.32
NZ Warriors,11,6.546,8,1.454,2026,1.436,0.018
Newcastle,12,5.073,8,2.927,2026,1.653,1.274
North Qld,13,6.182,7,0.818,2026,-1.124,1.942
Parramatta,11,3.466,3,-0.466,2026,-1.883,1.416
Penrith,12,8.889,11,2.111,2026,1.545,0.566
South Sydney,11,5.238,6,0.762,2026,0.52,0.241
St George,12,3.321,1,-2.321,2026,-1.823,-0.498
Sydney,11,7.452,7,-0.452,2026,0.058,-0.51
Wests Tigers,10,4.306,5,0.694,2026,-1.118,1.812
