SEASON,RUNNER_NAME,exp
2024,Adelaide,10.608
2024,Brisbane,15.168
2024,Carlton,13.192
2024,Collingwood,12.519
2024,Essendon,11.014
2024,Fremantle,12.576
2024,GWS,13.258
2024,Geelong,13.737
2024,Gold Coast,12.105
2024,Hawthorn,10.553
2024,Melbourne,12.518
2024,North Melbourne,4.131
2024,Port Adelaide,14.076
2024,Richmond,6.004
2024,St Kilda,11.063
2024,Sydney,15.629
2024,West Coast,5.256
2024,Western Bulldogs,13.591
2025,Adelaide,15.316
2025,Brisbane,15.048
2025,Carlton,11.618
2025,Collingwood,15.387
2025,Essendon,6.933
2025,Fremantle,13.868
2025,GWS,13.293
2025,Geelong,16.281
2025,Gold Coast,13.441
2025,Hawthorn,14.309
2025,Melbourne,10.286
2025,North Melbourne,5.561
2025,Port Adelaide,8.578
2025,Richmond,4.701
2025,St Kilda,9.204
2025,Sydney,11.884
2025,West Coast,5.393
2025,Western Bulldogs,14.898
