Season,club,player,games,PV,rep_pct,career_g,est_pay_low_K,est_pay_high_K,deserved_K,gap_K,verdict
2021.0,Adelaide,Andrew McPherson,18,2.225,21.364985163204743,9.0,120,215,289.0,122.0,UNDERPAID
2021.0,Adelaide,Ben Davis,4,0.21,2.225519287833828,2.0,120,215,27.0,-140.0,LOW SAMPLE
2021.0,Adelaide,Ben Keays,22,6.761,45.54896142433235,46.0,215,330,877.0,604.0,UNDERPAID
2021.0,Adelaide,Billy Frampton,10,1.463,9.347181008902076,8.0,120,215,190.0,22.0,FAIR
2021.0,Adelaide,Brayden Cook,3,0.215,28.560830860534125,0.0,215,330,28.0,-244.0,LOW SAMPLE
2021.0,Adelaide,Brodie Smith,21,4.958,73.73887240356083,107.0,435,590,643.0,130.0,FAIR
2021.0,Adelaide,Chayce Jones,15,1.782,42.72997032640949,23.0,215,330,231.0,-42.0,FAIR
2021.0,Adelaide,Darcy Fogarty,17,3.036,37.98219584569733,24.0,215,330,394.0,122.0,UNDERPAID
2021.0,Adelaide,David Mackay,18,2.37,55.0,106.0,330,435,307.0,-76.0,FAIR
2021.0,Adelaide,Elliott Himmelberg,8,1.445,41.69139465875371,19.0,215,330,187.0,-86.0,FAIR
2021.0,Adelaide,Harry Schoenberg,22,4.439,20.623145400593472,8.0,120,215,576.0,408.0,UNDERPAID
2021.0,Adelaide,Jackson Hately,3,0.311,12.9080118694362,13.0,120,215,40.0,-128.0,LOW SAMPLE
2021.0,Adelaide,Jake Kelly,20,3.018,58.30860534124629,90.0,330,435,391.0,8.0,FAIR
2021.0,Adelaide,James Rowe,19,2.377,28.560830860534125,0.0,215,330,308.0,36.0,FAIR
2021.0,Adelaide,Jordon Butts,22,3.33,4.302670623145401,2.0,120,215,432.0,264.0,UNDERPAID
2021.0,Adelaide,Josh Worrell,1,0.054,28.560830860534125,0.0,215,330,7.0,-266.0,LOW SAMPLE
2021.0,Adelaide,Kieran Strachan,2,0.4,1.6320474777448073,1.0,120,215,52.0,-116.0,LOW SAMPLE
2021.0,Adelaide,Lachlan Gollant,1,0.168,28.560830860534125,0.0,215,330,22.0,-250.0,LOW SAMPLE
2021.0,Adelaide,Lachlan Murphy,15,2.058,53.26409495548962,44.0,330,435,267.0,-116.0,OVERPAID
2021.0,Adelaide,Lachlan Sholl,19,2.588,20.32640949554896,8.0,120,215,336.0,168.0,UNDERPAID
2021.0,Adelaide,Luke Brown,11,1.674,59.05044510385756,121.0,330,435,217.0,-166.0,OVERPAID
2021.0,Adelaide,Luke Pedlar,2,0.154,28.560830860534125,0.0,215,330,20.0,-252.0,LOW SAMPLE
2021.0,Adelaide,Mitch Hinge,1,0.08,4.599406528189911,3.0,120,215,10.0,-158.0,LOW SAMPLE
2021.0,Adelaide,Ned McHenry,21,2.81,12.611275964391693,8.0,120,215,364.0,196.0,UNDERPAID
2021.0,Adelaide,Nick Murray,13,1.869,28.560830860534125,0.0,215,330,242.0,-30.0,FAIR
2021.0,Adelaide,Paul Seedsman,22,5.262,54.00593471810089,73.0,330,435,682.0,300.0,UNDERPAID
2021.0,Adelaide,Reilly OBrien,20,5.151,90.94955489614244,37.0,590,820,668.0,-37.0,FAIR
2021.0,Adelaide,Riley Thilthorpe,14,2.575,28.560830860534125,0.0,215,330,334.0,62.0,FAIR
2021.0,Adelaide,Ronin OConnor,3,0.132,28.560830860534125,0.0,215,330,17.0,-256.0,LOW SAMPLE
2021.0,Adelaide,Rory Laird,22,6.558,91.0979228486647,126.0,590,820,850.0,145.0,FAIR
2021.0,Adelaide,Rory Sloane,18,4.825,83.82789317507418,111.0,435,590,626.0,114.0,FAIR
2021.0,Adelaide,Sam Berry,17,2.137,28.560830860534125,0.0,215,330,277.0,4.0,FAIR
2021.0,Adelaide,Shane McAdam,15,2.802,63.94658753709199,13.0,330,435,363.0,-20.0,FAIR
2021.0,Adelaide,Taylor Walker,17,5.326,76.11275964391692,119.0,435,590,691.0,178.0,UNDERPAID
2021.0,Adelaide,Tom Doedee,21,4.722,41.3946587537092,30.0,215,330,612.0,340.0,UNDERPAID
2021.0,Adelaide,Tom Lynch,12,2.006,99.62908011869436,230.0,1125,1470,260.0,-1038.0,OVERPAID
2021.0,Adelaide,Will Hamill,17,1.585,12.462908011869436,8.0,120,215,206.0,38.0,FAIR
2021.0,Brisbane,Brandon Starcevich,24,3.416,38.87240356083086,23.0,215,330,443.0,170.0,UNDERPAID
2021.0,Brisbane,Callum Ah Chee,21,2.603,48.3679525222552,63.0,330,435,338.0,-44.0,FAIR
2021.0,Brisbane,Charlie Cameron,24,5.52,87.53709198813057,120.0,435,590,716.0,204.0,UNDERPAID
2021.0,Brisbane,Connor Ballenden,1,0.04,4.747774480712167,2.0,120,215,5.0,-162.0,LOW SAMPLE
2021.0,Brisbane,Daniel McStay,19,4.269,69.58456973293768,111.0,330,435,554.0,172.0,UNDERPAID
2021.0,Brisbane,Daniel Rich,24,6.474,84.71810089020771,121.0,435,590,839.0,326.0,UNDERPAID
2021.0,Brisbane,Darcy Gardiner,9,1.01,73.44213649851632,107.0,435,590,131.0,-382.0,OVERPAID
2021.0,Brisbane,Dayne Zorko,23,7.555,98.21958456973294,126.0,820,1125,980.0,8.0,FAIR
2021.0,Brisbane,Deven Robertson,16,2.326,1.0385756676557862,1.0,120,215,302.0,134.0,UNDERPAID
2021.0,Brisbane,Eric Hipwood,16,3.262,90.3560830860534,94.0,590,820,423.0,-282.0,OVERPAID
2021.0,Brisbane,Grant Birchall,23,3.51,42.433234421364986,70.0,215,330,455.0,182.0,UNDERPAID
2021.0,Brisbane,Harris Andrews,23,5.553,84.86646884272997,113.0,435,590,720.0,208.0,UNDERPAID
2021.0,Brisbane,Harry Sharp,2,0.224,28.560830860534125,0.0,215,330,29.0,-244.0,LOW SAMPLE
2021.0,Brisbane,Hugh McCluggage,24,6.839,95.6973293768546,82.0,590,820,887.0,182.0,FAIR
2021.0,Brisbane,Jack Payne,10,1.345,15.727002967359049,5.0,120,215,174.0,6.0,FAIR
2021.0,Brisbane,James Madden,9,1.208,28.560830860534125,0.0,215,330,157.0,-116.0,OVERPAID
2021.0,Brisbane,Jarrod Berry,11,1.517,86.64688427299704,74.0,435,590,197.0,-316.0,OVERPAID
2021.0,Brisbane,Jarryd Lyons,24,7.531,97.03264094955487,113.0,820,1125,977.0,4.0,FAIR
2021.0,Brisbane,Jaxon Prior,18,1.966,28.560830860534125,0.0,215,330,255.0,-18.0,FAIR
2021.0,Brisbane,Joe Daniher,24,5.832,40.0,82.0,215,330,756.0,484.0,UNDERPAID
2021.0,Brisbane,Keidean Coleman,18,2.046,13.353115727002969,5.0,120,215,265.0,98.0,UNDERPAID
2021.0,Brisbane,Lachie Neale,17,4.593,98.66468842729972,132.0,820,1125,596.0,-376.0,OVERPAID
2021.0,Brisbane,Lincoln McCarthy,24,5.528,68.39762611275965,65.0,330,435,717.0,334.0,UNDERPAID
2021.0,Brisbane,Marcus Adams,17,3.666,25.0,38.0,215,330,475.0,202.0,UNDERPAID
2021.0,Brisbane,Mitch Robinson,22,4.842,93.62017804154304,110.0,590,820,628.0,-77.0,FAIR
2021.0,Brisbane,Nakia Cockatoo,7,0.79,25.0,34.0,215,330,102.0,-170.0,LOW SAMPLE
2021.0,Brisbane,Oscar McInerney,23,6.793,87.68545994065282,56.0,435,590,881.0,368.0,UNDERPAID
2021.0,Brisbane,Rhys Mathieson,15,1.777,25.0,47.0,215,330,230.0,-42.0,FAIR
2021.0,Brisbane,Ryan Lester,17,2.299,48.6646884272997,89.0,330,435,298.0,-84.0,FAIR
2021.0,Brisbane,Tom Berry,11,0.562,10.979228486646884,6.0,120,215,73.0,-94.0,OVERPAID
2021.0,Brisbane,Tom Fullarton,12,1.527,4.005934718100891,2.0,120,215,198.0,30.0,FAIR
2021.0,Brisbane,Zac Bailey,24,6.06,63.353115727002965,46.0,330,435,786.0,404.0,UNDERPAID
2021.0,Carlton,Adam Saad,22,4.698,87.0919881305638,109.0,435,590,609.0,96.0,FAIR
2021.0,Carlton,Brodie Kemp,2,0.258,28.560830860534125,0.0,215,330,33.0,-240.0,LOW SAMPLE
2021.0,Carlton,Charlie Curnow,4,0.615,63.20474777448071,58.0,330,435,80.0,-302.0,LOW SAMPLE
2021.0,Carlton,Corey Durdin,2,0.174,28.560830860534125,0.0,215,330,23.0,-250.0,LOW SAMPLE
2021.0,Carlton,David Cuningham,4,0.774,41.839762611275965,37.0,215,330,100.0,-172.0,LOW SAMPLE
2021.0,Carlton,Ed Curnow,22,5.097,95.99406528189913,116.0,590,820,661.0,-44.0,FAIR
2021.0,Carlton,Eddie Betts,19,3.252,74.77744807121661,125.0,435,590,422.0,-90.0,FAIR
2021.0,Carlton,Harry McKay,19,5.829,71.66172106824926,48.0,435,590,756.0,244.0,UNDERPAID
2021.0,Carlton,Jack Martin,11,2.103,73.88724035608308,101.0,435,590,273.0,-240.0,OVERPAID
2021.0,Carlton,Jack Newnes,19,2.724,74.62908011869436,125.0,435,590,353.0,-160.0,OVERPAID
2021.0,Carlton,Jack Silvagni,15,2.575,40.0,63.0,215,330,334.0,62.0,FAIR
2021.0,Carlton,Jacob Weitering,22,5.936,79.37685459940653,93.0,435,590,770.0,258.0,UNDERPAID
2021.0,Carlton,Josh Honey,5,0.806,0.1483679525222552,1.0,120,215,105.0,-62.0,LOW SAMPLE
2021.0,Carlton,Lachie Fogarty,17,2.733,14.243323442136498,23.0,120,215,354.0,186.0,UNDERPAID
2021.0,Carlton,Lachie Plowman,19,2.309,59.64391691394659,92.0,330,435,299.0,-84.0,FAIR
2021.0,Carlton,Levi Casboult,13,2.072,78.04154302670622,105.0,435,590,269.0,-244.0,OVERPAID
2021.0,Carlton,Liam Jones,19,4.035,74.03560830860533,76.0,435,590,523.0,10.0,FAIR
2021.0,Carlton,Liam Stocker,17,2.639,7.863501483679524,5.0,120,215,342.0,174.0,UNDERPAID
2021.0,Carlton,Lochie OBrien,5,0.788,25.0,36.0,215,330,102.0,-170.0,LOW SAMPLE
2021.0,Carlton,Luke Parks,6,0.633,28.560830860534125,0.0,215,330,82.0,-190.0,LOW SAMPLE
2021.0,Carlton,Marc Murphy,15,1.88,76.8545994065282,100.0,435,590,244.0,-268.0,OVERPAID
2021.0,Carlton,Marc Pittonet,13,3.126,42.13649851632047,20.0,215,330,405.0,132.0,UNDERPAID
2021.0,Carlton,Matthew Cottrell,14,1.892,15.281899109792285,5.0,120,215,245.0,78.0,FAIR
2021.0,Carlton,Matthew Kennedy,13,2.553,39.7626112759644,48.0,215,330,331.0,58.0,FAIR
