Season,Playing.for,player,games,PV,off_share,def_share,mid_share,bv
2021,Adelaide,Andrew McPherson,18,2.225,0.012,0.042,0.018,0
2021,Adelaide,Ben Davis,4,0.21,0.001,0.003,0.003,0
2021,Adelaide,Ben Keays,22,6.761,0.068,0.05,0.098,11
2021,Adelaide,Billy Frampton,10,1.463,0.018,0.02,0.01,0
2021,Adelaide,Brayden Cook,3,0.215,0.002,0.001,0.004,0
2021,Adelaide,Brodie Smith,21,4.958,0.033,0.093,0.036,2
2021,Adelaide,Chayce Jones,15,1.782,0.009,0.034,0.015,0
2021,Adelaide,Darcy Fogarty,17,3.036,0.069,0.011,0.018,0
2021,Adelaide,David Mackay,18,2.37,0.028,0.023,0.026,0
2021,Adelaide,Elliott Himmelberg,8,1.445,0.027,0.009,0.011,0
2021,Adelaide,Harry Schoenberg,22,4.439,0.051,0.03,0.061,0
2021,Adelaide,Jackson Hately,3,0.311,0.003,0.003,0.004,0
2021,Adelaide,Jake Kelly,20,3.018,0.01,0.064,0.025,0
2021,Adelaide,James Rowe,19,2.377,0.042,0.009,0.025,0
2021,Adelaide,Jordon Butts,22,3.33,0.008,0.083,0.019,0
2021,Adelaide,Josh Worrell,1,0.054,0.0,0.001,0.0,0
2021,Adelaide,Kieran Strachan,2,0.4,0.003,0.003,0.007,0
2021,Adelaide,Lachlan Gollant,1,0.168,0.004,0.0,0.001,0
2021,Adelaide,Lachlan Murphy,15,2.058,0.029,0.01,0.027,0
2021,Adelaide,Lachlan Sholl,19,2.588,0.028,0.026,0.03,2
2021,Adelaide,Luke Brown,11,1.674,0.006,0.037,0.012,0
2021,Adelaide,Luke Pedlar,2,0.154,0.002,0.001,0.002,0
2021,Adelaide,Mitch Hinge,1,0.08,0.001,0.002,0.0,0
2021,Adelaide,Ned McHenry,21,2.81,0.041,0.019,0.031,0
2021,Adelaide,Nick Murray,13,1.869,0.007,0.044,0.01,0
2021,Adelaide,Paul Seedsman,22,5.262,0.069,0.044,0.056,4
2021,Adelaide,Reilly OBrien,20,5.151,0.032,0.049,0.083,5
2021,Adelaide,Riley Thilthorpe,14,2.575,0.046,0.016,0.021,0
2021,Adelaide,Ronin OConnor,3,0.132,0.001,0.001,0.003,0
2021,Adelaide,Rory Laird,22,6.558,0.046,0.047,0.116,16
2021,Adelaide,Rory Sloane,18,4.825,0.036,0.043,0.076,2
2021,Adelaide,Sam Berry,17,2.137,0.024,0.017,0.028,0
2021,Adelaide,Shane McAdam,15,2.802,0.064,0.011,0.016,0
2021,Adelaide,Taylor Walker,17,5.326,0.122,0.015,0.034,9
2021,Adelaide,Tom Doedee,21,4.722,0.019,0.103,0.033,0
2021,Adelaide,Tom Lynch,12,2.006,0.035,0.01,0.019,0
2021,Adelaide,Will Hamill,17,1.585,0.007,0.025,0.02,0
2021,Brisbane,Brandon Starcevich,24,3.416,0.013,0.055,0.025,0
2021,Brisbane,Callum Ah Chee,21,2.603,0.024,0.021,0.024,0
2021,Brisbane,Charlie Cameron,24,5.52,0.1,0.016,0.027,1
2021,Brisbane,Connor Ballenden,1,0.04,0.0,0.001,0.0,0
2021,Brisbane,Daniel McStay,19,4.269,0.067,0.021,0.023,2
2021,Brisbane,Daniel Rich,24,6.474,0.024,0.112,0.04,6
2021,Brisbane,Darcy Gardiner,9,1.01,0.003,0.017,0.007,0
2021,Brisbane,Dayne Zorko,23,7.555,0.072,0.048,0.08,14
2021,Brisbane,Deven Robertson,16,2.326,0.017,0.019,0.026,0
2021,Brisbane,Eric Hipwood,16,3.262,0.055,0.014,0.015,1
2021,Brisbane,Grant Birchall,23,3.51,0.015,0.055,0.024,0
2021,Brisbane,Harris Andrews,23,5.553,0.016,0.107,0.028,0
2021,Brisbane,Harry Sharp,2,0.224,0.001,0.003,0.002,0
2021,Brisbane,Hugh McCluggage,24,6.839,0.072,0.041,0.069,10
2021,Brisbane,Jack Payne,10,1.345,0.004,0.025,0.008,0
2021,Brisbane,James Madden,9,1.208,0.004,0.016,0.012,0
2021,Brisbane,Jarrod Berry,11,1.517,0.014,0.01,0.016,0
2021,Brisbane,Jarryd Lyons,24,7.531,0.056,0.042,0.104,23
2021,Brisbane,Jaxon Prior,18,1.966,0.017,0.018,0.017,0
2021,Brisbane,Joe Daniher,24,5.832,0.096,0.018,0.037,4
2021,Brisbane,Keidean Coleman,18,2.046,0.02,0.016,0.018,0
2021,Brisbane,Lachie Neale,17,4.593,0.031,0.023,0.069,8
2021,Brisbane,Lincoln McCarthy,24,5.528,0.08,0.024,0.04,3
2021,Brisbane,Marcus Adams,17,3.666,0.011,0.068,0.021,0
2021,Brisbane,Mitch Robinson,22,4.842,0.037,0.046,0.047,3
2021,Brisbane,Nakia Cockatoo,7,0.79,0.009,0.006,0.006,0
2021,Brisbane,Oscar McInerney,23,6.793,0.031,0.058,0.094,1
2021,Brisbane,Rhys Mathieson,15,1.777,0.011,0.012,0.025,0
