Season,Playing.for,player,games,PV,off_share,def_share,mid_share,bv
2015.0,Adelaide,Brodie Martin,3,0.644,0.006,0.006,0.005,0.0
2015.0,Adelaide,Brodie Smith,21,4.909,0.036,0.071,0.034,6.0
2015.0,Adelaide,Cam Ellis-Yolmen,11,2.314,0.015,0.017,0.033,0.0
2015.0,Adelaide,Charlie Cameron,22,4.1,0.065,0.017,0.029,0.0
2015.0,Adelaide,Daniel Talia,22,3.286,0.008,0.071,0.019,0.0
2015.0,Adelaide,David Mackay,20,3.048,0.019,0.039,0.029,1.0
2015.0,Adelaide,Eddie Betts,23,6.721,0.118,0.022,0.04,7.0
2015.0,Adelaide,Jake Kelly,10,1.169,0.002,0.021,0.011,0.0
2015.0,Adelaide,Jake Lever,12,1.951,0.004,0.044,0.01,0.0
2015.0,Adelaide,Jarryd Lyons,13,1.974,0.017,0.014,0.024,0.0
2015.0,Adelaide,Josh Jenkins,21,5.621,0.1,0.025,0.027,3.0
2015.0,Adelaide,Kyle Cheney,12,2.096,0.005,0.045,0.013,0.0
2015.0,Adelaide,Kyle Hartigan,18,2.259,0.004,0.047,0.016,0.0
2015.0,Adelaide,Luke Brown,23,3.06,0.01,0.058,0.022,0.0
2015.0,Adelaide,Matt Crouch,17,2.881,0.012,0.022,0.047,0.0
2015.0,Adelaide,Matthew Jaensch,7,1.172,0.004,0.021,0.009,0.0
2015.0,Adelaide,Matthew Wright,16,2.742,0.027,0.021,0.028,0.0
2015.0,Adelaide,Mitch Grigg,6,1.164,0.012,0.012,0.009,0.0
2015.0,Adelaide,Nathan van Berlo,20,3.664,0.026,0.045,0.033,0.0
2015.0,Adelaide,Patrick Dangerfield,23,8.331,0.071,0.047,0.111,22.0
2015.0,Adelaide,Richard Douglas,16,4.097,0.037,0.028,0.049,0.0
2015.0,Adelaide,Ricky Henderson,17,3.46,0.022,0.049,0.029,0.0
2015.0,Adelaide,Riley Knight,11,1.696,0.024,0.009,0.013,0.0
2015.0,Adelaide,Rory Atkins,8,0.967,0.009,0.01,0.008,0.0
2015.0,Adelaide,Rory Laird,23,4.436,0.018,0.067,0.044,2.0
2015.0,Adelaide,Rory Sloane,18,5.388,0.043,0.043,0.065,4.0
2015.0,Adelaide,Sam Jacobs,23,5.434,0.029,0.047,0.077,4.0
2015.0,Adelaide,Sam Kerridge,1,0.048,0.0,0.0,0.001,0.0
2015.0,Adelaide,Sam Shaw,2,0.31,0.003,0.004,0.002,0.0
2015.0,Adelaide,Scott Thompson,21,6.117,0.034,0.04,0.097,12.0
2015.0,Adelaide,Taylor Walker,23,6.617,0.13,0.018,0.029,10.0
2015.0,Adelaide,Tom Lynch,23,5.456,0.089,0.021,0.037,2.0
2015.0,Brisbane Lions,Allen Christensen,22,4.618,0.078,0.03,0.057,0.0
2015.0,Brisbane Lions,Billy Evans,5,0.41,0.004,0.003,0.007,0.0
2015.0,Brisbane Lions,Brent Staker,6,0.446,0.005,0.005,0.006,0.0
2015.0,Brisbane Lions,Claye Beams,8,1.095,0.009,0.02,0.011,0.0
2015.0,Brisbane Lions,Daniel McStay,20,2.949,0.062,0.028,0.017,0.0
2015.0,Brisbane Lions,Daniel Merrett,10,1.436,0.003,0.039,0.01,0.0
2015.0,Brisbane Lions,Daniel Rich,21,4.574,0.055,0.054,0.054,3.0
2015.0,Brisbane Lions,Darcy Gardiner,8,1.179,0.006,0.03,0.007,0.0
2015.0,Brisbane Lions,Dayne Beams,16,4.526,0.05,0.034,0.076,9.0
2015.0,Brisbane Lions,Dayne Zorko,22,5.247,0.068,0.049,0.069,5.0
2015.0,Brisbane Lions,Harris Andrews,19,2.701,0.02,0.056,0.021,0.0
2015.0,Brisbane Lions,Hugh Beasley,6,0.594,0.003,0.011,0.006,0.0
2015.0,Brisbane Lions,Jack Redden,17,3.768,0.026,0.042,0.065,1.0
2015.0,Brisbane Lions,Jaden McGrath,3,0.238,0.0,0.004,0.004,0.0
2015.0,Brisbane Lions,James Aish,11,1.483,0.014,0.021,0.018,0.0
2015.0,Brisbane Lions,Jed Adcock,21,3.326,0.059,0.031,0.029,0.0
2015.0,Brisbane Lions,Jonathan Freeman,6,0.859,0.023,0.003,0.005,0.0
2015.0,Brisbane Lions,Jordon Bourke,5,0.765,0.011,0.012,0.005,0.0
2015.0,Brisbane Lions,Josh Green,16,2.993,0.066,0.015,0.026,0.0
2015.0,Brisbane Lions,Justin Clarke,20,2.994,0.01,0.077,0.02,0.0
2015.0,Brisbane Lions,Lewis Taylor,22,3.244,0.05,0.027,0.039,0.0
2015.0,Brisbane Lions,Liam Dawson,10,0.841,0.009,0.014,0.007,0.0
2015.0,Brisbane Lions,Luke McGuane,4,0.805,0.019,0.003,0.006,0.0
2015.0,Brisbane Lions,Marco Paparone,22,3.433,0.019,0.073,0.031,0.0
2015.0,Brisbane Lions,Matt Maguire,2,0.215,0.001,0.004,0.002,0.0
2015.0,Brisbane Lions,Matthew Leuenberger,14,2.129,0.026,0.022,0.028,0.0
2015.0,Brisbane Lions,Michael Close,1,0.031,0.001,0.0,0.0,0.0
2015.0,Brisbane Lions,Mitch Golby,5,0.575,0.002,0.011,0.007,0.0
2015.0,Brisbane Lions,Mitch Robinson,21,5.094,0.056,0.051,0.073,3.0
2015.0,Brisbane Lions,Nick Robertson,12,1.525,0.017,0.021,0.016,0.0
2015.0,Brisbane Lions,Pearce Hanley,11,2.439,0.041,0.022,0.025,3.0
2015.0,Brisbane Lions,Rohan Bewick,15,2.164,0.033,0.022,0.022,0.0
2015.0,Brisbane Lions,Ryan Harwood,3,0.331,0.001,0.008,0.003,0.0
2015.0,Brisbane Lions,Ryan Lester,9,1.597,0.024,0.013,0.02,0.0
2015.0,Brisbane Lions,Sam Mayes,14,1.581,0.017,0.022,0.018,0.0
2015.0,Brisbane Lions,Stefan Martin,20,5.379,0.058,0.037,0.095,7.0
2015.0,Brisbane Lions,Tom Cutler,11,1.52,0.012,0.029,0.014,0.0
2015.0,Brisbane Lions,Tom Rockliff,16,4.013,0.035,0.043,0.064,4.0
2015.0,Brisbane Lions,Trent West,2,0.184,0.004,0.002,0.001,0.0
2015.0,Brisbane Lions,Zac OBrien,8,0.975,0.005,0.012,0.017,0.0
2015.0,Carlton,Andrejs Everitt,22,4.279,0.101,0.026,0.029,0.0
2015.0,Carlton,Andrew Carrazzo,16,3.001,0.016,0.024,0.066,1.0
2015.0,Carlton,Andrew Walker,12,2.19,0.043,0.021,0.016,1.0
2015.0,Carlton,Blaine Boekhorst,11,1.324,0.021,0.012,0.015,0.0
2015.0,Carlton,Blaine Johnson,2,0.12,0.001,0.001,0.002,0.0
2015.0,Carlton,Brad Walsh,3,0.17,0.002,0.001,0.003,0.0
2015.0,Carlton,Bryce Gibbs,10,2.263,0.024,0.019,0.038,1.0
2015.0,Carlton,Cameron Wood,18,3.367,0.027,0.039,0.054,0.0
2015.0,Carlton,Chris Judd,8,1.845,0.027,0.009,0.03,1.0
2015.0,Carlton,Chris Yarran,14,2.051,0.024,0.033,0.018,0.0
2015.0,Carlton,Ciaran Byrne,1,0.062,0.0,0.001,0.001,0.0
2015.0,Carlton,Clem Smith,7,0.493,0.006,0.005,0.007,0.0
2015.0,Carlton,Dale Thomas,5,0.594,0.009,0.004,0.008,0.0
2015.0,Carlton,David Ellard,10,1.221,0.016,0.012,0.016,0.0
2015.0,Carlton,Dennis Armfield,12,1.981,0.038,0.015,0.019,0.0
2015.0,Carlton,Dylan Buckley,18,2.268,0.024,0.039,0.02,0.0
2015.0,Carlton,Ed Curnow,22,3.781,0.024,0.049,0.063,0.0
2015.0,Carlton,Jason Tutt,13,1.665,0.017,0.024,0.019,0.0
2015.0,Carlton,Kade Simpson,20,3.653,0.024,0.07,0.038,1.0
2015.0,Carlton,Kristian Jaksch,6,0.907,0.006,0.023,0.004,0.0
2015.0,Carlton,Lachie Henderson,16,3.025,0.065,0.023,0.022,1.0
2015.0,Carlton,Levi Casboult,16,3.216,0.076,0.02,0.021,0.0
2015.0,Carlton,Liam Jones,9,1.39,0.031,0.01,0.01,0.0
2015.0,Carlton,Marc Murphy,19,4.556,0.049,0.04,0.074,12.0
2015.0,Carlton,Mark Whiley,8,1.043,0.008,0.01,0.02,0.0
2015.0,Carlton,Matthew Dick,6,0.729,0.003,0.017,0.006,0.0
2015.0,Carlton,Matthew Kreuzer,13,3.214,0.041,0.029,0.045,3.0
2015.0,Carlton,Matthew Watson,4,0.569,0.013,0.004,0.004,0.0
2015.0,Carlton,Michael Jamison,14,1.575,0.004,0.043,0.01,0.0
2015.0,Carlton,Nick Graham,6,1.148,0.013,0.008,0.02,0.0
2015.0,Carlton,Nick Holman,8,0.823,0.011,0.01,0.01,0.0
2015.0,Carlton,Patrick Cripps,20,4.986,0.049,0.031,0.096,6.0
2015.0,Carlton,Robert Warnock,2,0.338,0.002,0.003,0.007,0.0
2015.0,Carlton,Sam Docherty,19,3.676,0.021,0.077,0.035,0.0
2015.0,Carlton,Sam Rowe,20,3.197,0.013,0.079,0.024,0.0
2015.0,Carlton,Simon White,14,1.889,0.01,0.039,0.019,0.0
2015.0,Carlton,Tom Bell,22,5.263,0.083,0.044,0.062,6.0
2015.0,Carlton,Tom Fields,2,0.268,0.001,0.008,0.002,0.0
2015.0,Carlton,Troy Menzel,14,1.696,0.033,0.015,0.014,0.0
2015.0,Carlton,Zach Tuohy,22,3.282,0.022,0.064,0.033,2.0
2015.0,Collingwood,Adam Oxley,17,3.084,0.023,0.037,0.028,2.0
2015.0,Collingwood,Alan Toovey,20,3.249,0.006,0.063,0.026,0.0
2015.0,Collingwood,Alex Fasolo,17,4.237,0.08,0.016,0.026,0.0
2015.0,Collingwood,Ben Kennedy,5,0.583,0.008,0.002,0.007,0.0
2015.0,Collingwood,Ben Reid,5,0.921,0.013,0.008,0.006,0.0
2015.0,Collingwood,Ben Sinclair,6,0.825,0.005,0.012,0.008,0.0
2015.0,Collingwood,Brayden Maynard,9,1.232,0.005,0.02,0.01,0.0
2015.0,Collingwood,Brodie Grundy,19,4.533,0.028,0.037,0.066,0.0
2015.0,Collingwood,Corey Gault,3,0.457,0.005,0.004,0.004,0.0
2015.0,Collingwood,Dane Swan,21,6.626,0.071,0.036,0.084,17.0
2015.0,Collingwood,Darcy Moore,9,1.531,0.023,0.01,0.011,0.0
2015.0,Collingwood,Jack Crisp,22,5.839,0.055,0.045,0.068,4.0
2015.0,Collingwood,Jack Frost,20,3.138,0.004,0.073,0.015,1.0
2015.0,Collingwood,Jackson Ramsay,5,0.999,0.002,0.016,0.01,0.0
2015.0,Collingwood,Jamie Elliott,20,5.205,0.091,0.028,0.032,3.0
2015.0,Collingwood,Jarrod Witts,11,2.506,0.019,0.021,0.032,0.0
2015.0,Collingwood,Jarryd Blair,20,4.413,0.058,0.024,0.045,0.0
2015.0,Collingwood,Jesse White,18,4.118,0.068,0.023,0.028,0.0
2015.0,Collingwood,Jonathon Marsh,5,0.605,0.001,0.012,0.005,0.0
2015.0,Collingwood,Jordan de Goey,16,2.984,0.026,0.021,0.039,0.0
2015.0,Collingwood,Levi Greenwood,8,1.916,0.019,0.016,0.02,0.0
2015.0,Collingwood,Marley Williams,20,4.688,0.023,0.07,0.043,0.0
2015.0,Collingwood,Matt Scharenberg,4,0.4,0.001,0.007,0.004,0.0
2015.0,Collingwood,Nathan Brown,21,3.638,0.006,0.081,0.019,0.0
2015.0,Collingwood,Patrick Karnezis,4,0.365,0.005,0.001,0.005,0.0
2015.0,Collingwood,Paul Seedsman,12,2.029,0.021,0.018,0.02,3.0
2015.0,Collingwood,Sam Dwyer,5,0.635,0.01,0.004,0.004,0.0
2015.0,Collingwood,Scott Pendlebury,22,6.932,0.069,0.048,0.083,15.0
2015.0,Collingwood,Steele Sidebottom,16,3.687,0.029,0.035,0.042,9.0
2015.0,Collingwood,Taylor Adams,18,5.03,0.043,0.03,0.071,8.0
2015.0,Collingwood,Tim Broomhead,11,1.785,0.018,0.01,0.024,0.0
2015.0,Collingwood,Tom Langdon,22,4.964,0.022,0.076,0.045,0.0
2015.0,Collingwood,Tony Armstrong,1,0.121,0.001,0.002,0.001,0.0
2015.0,Collingwood,Travis Cloke,17,4.369,0.089,0.014,0.023,4.0
2015.0,Collingwood,Travis Varcoe,22,4.001,0.042,0.039,0.034,0.0
2015.0,Collingwood,Tyson Goldsack,13,2.196,0.01,0.038,0.015,0.0
2015.0,Essendon,Adam Cooney,11,2.023,0.034,0.012,0.022,0.0
2015.0,Essendon,Alex Browne,3,0.278,0.004,0.003,0.003,0.0
2015.0,Essendon,Ariel Steinberg,7,0.757,0.003,0.015,0.007,0.0
2015.0,Essendon,Ben Howlett,20,4.148,0.046,0.033,0.058,3.0
2015.0,Essendon,Brendon Goddard,22,5.041,0.051,0.048,0.067,2.0
2015.0,Essendon,Brent Stanton,22,5.081,0.053,0.057,0.059,6.0
2015.0,Essendon,Cale Hooker,22,5.48,0.07,0.074,0.041,0.0
2015.0,Essendon,Conor McKenna,2,0.281,0.006,0.001,0.003,0.0
2015.0,Essendon,Courtenay Dempsey,13,1.755,0.024,0.017,0.017,0.0
2015.0,Essendon,David Myers,2,0.247,0.002,0.002,0.004,0.0
2015.0,Essendon,David Zaharakis,16,2.767,0.036,0.022,0.035,0.0
2015.0,Essendon,Dustin Fletcher,7,1.471,0.004,0.037,0.008,0.0
2015.0,Essendon,Dyson Heppell,22,5.562,0.05,0.043,0.089,10.0
2015.0,Essendon,Elliott Kavanagh,5,0.675,0.005,0.008,0.009,0.0
2015.0,Essendon,Heath Hocking,5,0.975,0.011,0.008,0.014,0.0
2015.0,Essendon,Jackson Merrett,15,2.089,0.033,0.015,0.022,0.0
2015.0,Essendon,Jake Carlisle,17,3.442,0.052,0.041,0.024,0.0
2015.0,Essendon,Jake Melksham,18,3.401,0.041,0.032,0.04,0.0
2015.0,Essendon,James Gwilt,11,1.773,0.007,0.037,0.015,0.0
2015.0,Essendon,Jason Ashby,5,0.4,0.001,0.007,0.004,0.0
2015.0,Essendon,Jason Winderlich,1,0.091,0.002,0.0,0.001,0.0
2015.0,Essendon,Jayden Laverde,9,1.202,0.016,0.011,0.013,0.0
2015.0,Essendon,Jobe Watson,12,2.91,0.032,0.019,0.045,7.0
2015.0,Essendon,Joe Daniher,22,4.807,0.104,0.029,0.032,5.0
2015.0,Essendon,Jonathan Giles,3,0.747,0.006,0.005,0.014,0.0
2015.0,Essendon,Kyle Langford,8,0.781,0.012,0.006,0.008,0.0
2015.0,Essendon,Mark Baguley,22,3.751,0.019,0.07,0.035,0.0
2015.0,Essendon,Martin Gleeson,22,2.915,0.022,0.047,0.028,0.0
2015.0,Essendon,Michael Hibberd,21,3.914,0.029,0.066,0.034,2.0
2015.0,Essendon,Michael Hurley,19,4.249,0.017,0.098,0.026,2.0
2015.0,Essendon,Nick OBrien,9,1.287,0.009,0.008,0.024,0.0
2015.0,Essendon,Orazio Fantasia,5,0.776,0.009,0.01,0.007,0.0
2015.0,Essendon,Patrick Ambrose,16,2.371,0.026,0.025,0.028,0.0
2015.0,Essendon,Paul Chapman,9,1.554,0.027,0.009,0.016,0.0
2015.0,Essendon,Shaun Edwards,9,1.114,0.022,0.006,0.01,0.0
2015.0,Essendon,Shaun McKernan,9,2.316,0.028,0.015,0.034,0.0
2015.0,Essendon,Tayte Pears,2,0.288,0.001,0.006,0.003,0.0
2015.0,Essendon,Tom Bellchambers,10,1.58,0.013,0.016,0.023,0.0
2015.0,Essendon,Travis Colyer,11,2.075,0.038,0.01,0.022,0.0
2015.0,Essendon,Will Hams,3,0.18,0.001,0.001,0.004,0.0
2015.0,Essendon,Zach Merrett,17,3.511,0.034,0.033,0.049,1.0
2015.0,Fremantle,Aaron Sandilands,23,5.52,0.044,0.04,0.077,14.0
2015.0,Fremantle,Alex Pearce,13,2.098,0.01,0.035,0.011,0.0
2015.0,Fremantle,Alex Silvagni,2,0.2,0.001,0.003,0.002,0.0
2015.0,Fremantle,Brady Grey,1,0.203,0.0,0.004,0.002,0.0
2015.0,Fremantle,Cameron Sutcliffe,21,3.067,0.01,0.052,0.019,0.0
2015.0,Fremantle,Chris Mayne,22,4.643,0.069,0.034,0.032,3.0
