GKEY,season,path,vol
2024_230311801,2024,AFL/West Coast v Brisbane,1394543.4200000002
2025_236802052,2025,AFL/Richmond v Carlton,1321273.82
2024_233306862,2024,AFL/Sydney v Brisbane,1169938.51
2024_230085161,2024,AFL/Brisbane v Melbourne,1024795.45
2026_255833036,2026,AFL/Western Bulldogs v Essendon,956835.3
2025_247992527,2025,AFL/Geelong v Brisbane,829569.38
2025_243965603,2025,AFL/Brisbane Lions v Essendon,825323.89
2024_229783740,2024,AFL/Brisbane v St Kilda,815633.18
2024_230155962,2024,AFL/Brisbane v Adelaide,794708.1499999999
2025_246084230,2025,AFL/West Coast v Adelaide,783606.53
2026_256881695,2026,AFL/Richmond v Melbourne,761344.73
2025_243967061,2025,AFL/GWS GIANTS v Richmond,755523.23
2024_232985834,2024,AFL/Sydney v Port Adelaide,749967.88
2025_247678612,2025,AFL/Geelong Cats v Hawthorn,748147.73
2025_243968495,2025,AFL/West Coast Eagles v Geelong Cats,744246.61
2024_230152218,2024,AFL/Collingwood v Essendon,738581.36
2025_245416873,2025,AFL/Essendon v GWS,734466.5800000001
2024_227767557,2024,AFL/Essendon v Collingwood,727536.4400000001
2025_243688217,2025,AFL/North Melbourne v Collingwood,726040.38
2024_228992790,2024,AFL/Western Bulldogs v Sydney,720496.8
